0:0:0:0:0:0:0:1 - - [06/May/2019:18:11:37 +0530] "GET /ORSproject04/ctl/CourseCtl HTTP/1.1" 200 5182
0:0:0:0:0:0:0:1 - - [06/May/2019:18:11:44 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [06/May/2019:18:11:44 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:18:11:47 +0530] "GET /ORSproject04/ctl/CourseCtl?id=1 HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:23 +0530] "POST /ORSproject04/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:23 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:23 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:25 +0530] "GET /ORSproject04/ctl/CourseCtl?id=1 HTTP/1.1" 200 5306
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:28 +0530] "POST /ORSproject04/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:28 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:28 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:34 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:34 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:13:34 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:19:00 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 8031
0:0:0:0:0:0:0:1 - - [06/May/2019:18:19:00 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:19:00 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:07 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:07 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:07 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:07 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:29 +0530] "POST /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 8269
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:29 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:29 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:31 +0530] "POST /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:31 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:31 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:35 +0530] "POST /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:35 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:20:35 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:21:55 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [06/May/2019:18:21:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:21:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:23:05 +0530] "GET /ORSproject04/ctl/FacultyCtl HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [06/May/2019:18:23:05 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:18:23:05 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
